C31_RBS_scale,Int_tag_rate_h_inv,nominal_peak_load_fraction,A_period_change_percent,A_TetR_peak_change_percent,A_clock_pass,both_initial_states_B_pass,complete_system_pass,worst_one_crossing_complete_fraction,worst_alternation_fidelity,max_DNA_conservation_residual
0.45,8.0,0.0,0.0,0.0,True,True,True,1.0,1.0,3.9505954063656645e-11
0.45,8.0,0.1,-0.34965034965035446,-0.3612841064423056,True,True,True,1.0,1.0,2.218147887589339e-11
0.45,8.0,0.2,-0.7342657342657266,-0.8067077611450091,True,True,True,1.0,1.0,4.234090855703698e-11
0.45,8.0,0.3,-1.2587412587412694,-1.3681001780961322,True,True,True,1.0,1.0,1.4892953537071207e-10
0.6,8.0,0.0,0.0,0.0,True,False,False,0.2,1.0,5.3859139370615594e-11
0.6,8.0,0.1,-0.4895104895104918,-0.4810441029290846,True,False,False,0.8,1.0,1.0511080894559655e-10
0.6,8.0,0.2,-0.9790209790209836,-1.0702496422073882,True,True,True,1.0,1.0,2.99518188029424e-11
0.6,8.0,0.3,-1.6433566433566638,-1.807496514331941,True,True,True,1.0,1.0,4.546674148286911e-11
0.6,12.0,0.0,0.0,0.0,True,True,True,1.0,1.0,9.578371429341814e-11
0.6,12.0,0.1,-0.4895104895104918,-0.4810441029290846,True,False,False,0.9,1.0,5.115707857328289e-11
0.6,12.0,0.2,-0.9790209790209836,-1.0702496422073882,True,False,False,0.7,1.0,2.000071219754318e-10
0.6,12.0,0.3,-1.6433566433566638,-1.807496514331941,True,True,True,1.0,1.0,8.876155366266403e-11
0.7,16.0,0.0,0.0,0.0,True,False,False,0.9,1.0,9.695144687071888e-11
0.7,16.0,0.1,-0.5244755244755539,-0.5597960541838476,True,False,False,0.4,1.0,3.266034109827842e-10
0.7,16.0,0.2,-1.1538461538461497,-1.243153062103286,True,True,True,1.0,1.0,1.299278462596476e-10
0.7,16.0,0.3,-1.8531468531468809,-2.0979342948995727,True,False,False,0.8,1.0,6.631950544289111e-11
