scenario,scan_axis,scan_value,is_reference_value_on_axis,status,period_min,period_generations,deterministic_period_cv,relative_amplitude,TetR_free_peak,TetR_free_trough,PLtetO1_duty_activity_gt_0p5,C31_protein_peak_copies,C31_protein_trough_copies,C31_translation_flux_peak_uM_h,C31_translation_flux_FWHM_h,C31_translation_flux_dose_uM_per_cycle,Td_min,mu_per_min,oscillator_tx_per_plasmid_per_min,oscillator_translation_per_mrna_per_min,oscillator_mrna_total_loss_per_min,oscillator_mrna_total_half_life_min,sponge_plasmid_copies,effective_functional_sites,effective_sponge_sites,period_change_vs_axis_reference_percent,C31_dose_change_vs_axis_reference_percent
oscillator_promoter_scale__0p5,oscillator_promoter_scale,0.5,False,resolved_oscillation,500.875,10.0175,0.0007058715060509584,0.9773209120056386,317.6640354151928,7.204330611825062,0.32703843590313264,3668.771661477689,127.59490732025206,6.144124972211455,2.9833333333333334,17.45499762724694,50.0,0.013862943611198907,0.4804530139182014,0.5,0.34657359027997264,2.0,40.0,40.0,80.0,-21.163431269674714,-23.591793948676543
oscillator_promoter_scale__0p75,oscillator_promoter_scale,0.75,False,resolved_oscillation,580.2857142857143,11.605714285714287,0.0008408789402559985,0.9886260334806434,547.989017881263,6.232808742356563,0.33703621417462787,4023.3382766994223,81.5889140613684,6.4750460141134285,3.3666666666666667,20.656245248151247,50.0,0.013862943611198907,0.720679520877302,0.5,0.34657359027997264,2.0,40.0,40.0,80.0,-8.664368160695545,-9.578524335992855
oscillator_promoter_scale__1,oscillator_promoter_scale,1.0,True,resolved_oscillation,635.3333333333334,12.706666666666667,0.000812798183884033,0.9927466499248213,780.7742880882578,5.663229241202495,0.327482781604088,4219.3378215562925,62.35911391502764,6.639270640730661,3.6333333333333333,22.844401837575408,50.0,0.013862943611198907,0.9609060278364028,0.5,0.34657359027997264,2.0,40.0,40.0,80.0,0.0,0.0
oscillator_promoter_scale__1p25,oscillator_promoter_scale,1.25,False,resolved_oscillation,677.3333333333334,13.546666666666667,0.000762398296497523,0.9948025444177837,1014.9951640229103,5.275392281173356,0.3094867807153966,4345.039796513148,52.220258486718045,6.737639960315631,3.85,24.473081916144285,50.0,0.013862943611198907,1.2011325347955035,0.5,0.34657359027997264,2.0,40.0,40.0,80.0,6.610703043022026,7.129449438636448
oscillator_promoter_scale__1p5,oscillator_promoter_scale,1.5,False,resolved_oscillation,710.8,14.216,0.0006291693802756864,0.9960108377593291,1250.232518809453,4.987380356093541,0.3372583870251055,4433.5260186750465,46.10843300551232,6.80353159349039,4.0,25.75747130663223,50.0,0.013862943611198907,1.441359041754604,0.5,0.34657359027997264,2.0,40.0,40.0,80.0,11.878279118572909,12.751787023222839
oscillator_RBS_scale__0p5,oscillator_RBS_scale,0.5,False,resolved_oscillation,500.875,10.0175,0.0007058715060509584,0.9773209121931813,317.66403450075353,7.2043305315108785,0.32703843590313264,3668.7716776891457,127.59490519150813,6.144125001479214,2.9833333333333334,17.454997882015057,50.0,0.013862943611198907,0.9609060278364028,0.25,0.34657359027997264,2.0,40.0,40.0,80.0,-21.163431269674714,-23.59179283344438
oscillator_RBS_scale__0p75,oscillator_RBS_scale,0.75,False,resolved_oscillation,580.2857142857143,11.605714285714287,0.0008408789402559985,0.988626033535818,547.9890186856456,6.232808721270502,0.33703621417462787,4023.3383010922867,81.5889140853244,6.47504601851012,3.3666666666666667,20.656245307384484,50.0,0.013862943611198907,0.9609060278364028,0.375,0.34657359027997264,2.0,40.0,40.0,80.0,-8.664368160695545,-9.57852407670291
oscillator_RBS_scale__1,oscillator_RBS_scale,1.0,True,resolved_oscillation,635.3333333333334,12.706666666666667,0.000812798183884033,0.9927466499248213,780.7742880882578,5.663229241202495,0.327482781604088,4219.3378215562925,62.35911391502764,6.639270640730661,3.6333333333333333,22.844401837575408,50.0,0.013862943611198907,0.9609060278364028,0.5,0.34657359027997264,2.0,40.0,40.0,80.0,0.0,0.0
oscillator_RBS_scale__1p25,oscillator_RBS_scale,1.25,False,resolved_oscillation,677.3333333333334,13.546666666666667,0.000762398296497523,0.9948025444514266,1014.9951628012802,5.275392240676705,0.3094867807153966,4345.039810305744,52.22025833785448,6.737639973623755,3.85,24.47308210758906,50.0,0.013862943611198907,0.9609060278364028,0.625,0.34657359027997264,2.0,40.0,40.0,80.0,6.610703043022026,7.129450276674487
oscillator_RBS_scale__1p5,oscillator_RBS_scale,1.5,False,resolved_oscillation,710.8,14.216,0.0006291693802756864,0.9960108377644435,1250.2325199615564,4.9873803542952615,0.3372583870251055,4433.526066300521,46.108432967644376,6.803531583457699,4.0,25.757471278609227,50.0,0.013862943611198907,0.9609060278364028,0.75,0.34657359027997264,2.0,40.0,40.0,80.0,11.878279118572909,12.75178690055383
