C31_RBS_scale,Int_tag_rate_h_inv,initial_state,P_score,P_high,P_low,P_fidelity,audited_cycles,fraction_zero_crossings,fraction_exactly_one_crossing,fraction_multiple_crossings,fraction_complete_endpoint,fraction_one_and_complete,alternation_fidelity,system_pass
0.3,3.0,PB,0.9846450871361502,0.9994529504742656,0.015354912863849842,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.3,3.0,LR,0.9846450846183669,0.9994528256582402,0.015354915381633095,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.3,6.0,PB,0.9944822169183057,0.9998131530296863,0.005517783081694214,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.3,6.0,LR,0.9944822162583761,0.9998131406843085,0.0055177837416239195,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.3,8.0,PB,0.9964766856158452,0.9998898357030704,0.003523314384154804,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.3,8.0,LR,0.9964766878654846,0.9998898315449434,0.003523312134515412,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.3,12.0,PB,0.9979400155231676,0.9999483969554083,0.0020599844768324355,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.3,12.0,LR,0.9979400148784906,0.9999483962359288,0.002059985121509403,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.3,18.0,PB,0.9923459109466226,0.9985825179633772,0.007654089053377383,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.3,18.0,LR,0.9918338381793277,0.9985871667798958,0.008166161820672356,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.3,22.0,PB,0.4758800552160802,0.9588468961534109,0.048239889567839596,0.5,5,0.6,0.4,0.0,0.6,0.4,1.0,False
0.3,22.0,LR,0.4758810781070848,0.9692675208510192,0.04823784378583037,0.5,5,0.4,0.6,0.0,0.8,0.6,1.0,False
0.3,26.0,PB,0.0,0.9878396071087888,,0.0,5,1.0,0.0,0.0,1.0,0.0,,False
0.3,26.0,LR,0.0,0.9588069204499972,,0.0,5,0.8,0.0,0.2,0.8,0.0,,False
0.45,3.0,PB,0.9805057316710595,0.9993317542265405,0.019494268328940502,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.45,3.0,LR,0.9805219113286291,0.9993310832564769,0.01947808867137092,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.45,6.0,PB,0.9926758412917258,0.9997683367993959,0.0073241587082741345,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.45,6.0,LR,0.9926758454702513,0.9997682741374665,0.007324154529748707,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.45,8.0,PB,0.9952599325614389,0.9998610929938216,0.0047400674385610995,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.45,8.0,LR,0.9952599332260794,0.9998610711708674,0.004740066773920536,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.45,12.0,PB,0.9973312112695243,0.9999364887087353,0.0026687887304757286,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.45,12.0,LR,0.9973312102701831,0.9999364843264307,0.0026687897298168575,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.45,18.0,PB,0.9983072542398379,0.9999706065806149,0.0016927457601620456,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.45,18.0,LR,0.9983072544778832,0.9999706058445621,0.0016927455221168756,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.45,22.0,PB,0.9981485088859744,0.999902833648702,0.0018514911140255575,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.45,22.0,LR,0.9981485094963755,0.9999028342376652,0.0018514905036245534,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.45,26.0,PB,0.9925554743525539,0.9988264753499407,0.007444525647446109,1.0,5,0.2,0.4,0.4,0.6,0.4,1.0,False
0.45,26.0,LR,0.9925499170090553,0.9988255687205074,0.007450082990944756,1.0,5,0.2,0.6,0.2,0.8,0.6,1.0,False
0.6,3.0,PB,0.0,0.8819438241339412,,0.0,5,0.4,0.4,0.2,0.2,0.2,1.0,False
0.6,3.0,LR,0.0,0.9077300535869623,,0.0,5,0.4,0.0,0.6,0.4,0.0,,False
0.6,6.0,PB,0.9795001703587809,0.9997239167569517,0.02049982964121906,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.6,6.0,LR,0.7374577967476327,0.9939593155115883,0.016722937669823114,0.75,5,0.2,0.6,0.2,1.0,0.6,1.0,False
0.6,8.0,PB,0.9933485395144519,0.9998352198655441,0.006651460485548105,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.6,8.0,LR,0.9933477393678577,0.9998351498704117,0.0066522606321423525,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.6,12.0,PB,0.9967019372015887,0.9999246877478409,0.0032980627984113137,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.6,12.0,LR,0.9967019114094002,0.9999246737870069,0.003298088590599822,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.6,18.0,PB,0.9980226182149912,0.9999668487210411,0.0019773817850088646,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.6,18.0,LR,0.9980226185265165,0.999966846234414,0.0019773814734834476,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.6,22.0,PB,0.9983854095260322,0.9999776683176105,0.0016145904739678172,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.6,22.0,LR,0.9983854097836812,0.9999776673202236,0.0016145902163188467,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.6,26.0,PB,0.9985075048222729,0.9999696288966585,0.0014924951777270854,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
0.6,26.0,LR,0.9985075045308354,0.9999696284326341,0.0014924954691646712,1.0,5,0.0,1.0,0.0,1.0,1.0,1.0,True
