C31_RBS_scale,Int_tag_rate_h_inv,min_dual_initial_P_score,min_one_and_complete,min_alternation_fidelity,both_initial_states_cycle_pass,new_counter_pass
0.3,3.0,0.9846450846183669,1.0,1.0,True,True
0.3,6.0,0.9944822162583761,1.0,1.0,True,True
0.3,8.0,0.9964766856158452,1.0,1.0,True,True
0.3,12.0,0.9979400148784906,1.0,1.0,True,True
0.3,18.0,0.9918338381793277,1.0,1.0,True,True
0.3,22.0,0.4758800552160802,0.4,1.0,False,False
0.3,26.0,0.0,0.0,,False,False
0.45,3.0,0.9805057316710595,1.0,1.0,True,True
0.45,6.0,0.9926758412917258,1.0,1.0,True,True
0.45,8.0,0.9952599325614389,1.0,1.0,True,True
0.45,12.0,0.9973312102701831,1.0,1.0,True,True
0.45,18.0,0.9983072542398379,1.0,1.0,True,True
0.45,22.0,0.9981485088859744,1.0,1.0,True,True
0.45,26.0,0.9925499170090553,0.4,1.0,False,False
0.6,3.0,0.0,0.0,1.0,False,False
0.6,6.0,0.7374577967476327,0.6,1.0,False,False
0.6,8.0,0.9933477393678577,1.0,1.0,True,True
0.6,12.0,0.9967019114094002,1.0,1.0,True,True
0.6,18.0,0.9980226182149912,1.0,1.0,True,True
0.6,22.0,0.9983854095260322,1.0,1.0,True,True
0.6,26.0,0.9985075045308354,1.0,1.0,True,True
